,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
4944,"6,209",KamisatoAyaka,"Python3_1086,Python_134,JavaScript_47",319.0,99.6,685.0,99.8,169.0,99.3,519,"Find Edges in Shortest Paths,Count the Number of Special Characters II,Count the Number of Special Characters I,Find Right Interval,Find Minimum in Rotated Sorted Array,Find First and Last Position of Element in Sorted Array,Search a 2D Matrix II,Search in Rotated Sorted Array II,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Count Number of Possible Root Nodes,Design Graph With Shortest Path Calculator,Minimum Time to Visit a Cell In a Grid,Shortest Path Visiting All Nodes,Is Graph Bipartite?",101.0,"Dynamic Programming-194,Backtracking-53,Divide and Conquer-31,Monotonic Stack-28,Trie-25,Union Find-20,Segment Tree-15,Binary Indexed Tree-14","Hash Table-241,Math-199,Depth-First Search-150,Greedy-132,Tree-125,Breadth-First Search-111,Binary Tree-110,Binary Search-101","Array-618,String-304,Sorting-161,Two Pointers-107,Matrix-85,Stack-77,Simulation-62,Linked List-49"
4945,"318,128",Omkar Kumar,"C++_244,Java_18",97.0,90.4,137.0,90.3,14.0,71.0,554,"Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Smallest String Starting From Leaf,Add One Row to Tree,Word Ladder,Surrounded Regions,Minimum Time to Visit Disappearing Nodes,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points",97.0,"Dynamic Programming-23,Backtracking-12,Union Find-7,Divide and Conquer-6,Rolling Hash-3,Monotonic Stack-3,Topological Sort-3,Trie-2","Hash Table-41,Depth-First Search-32,Math-29,Tree-25,Binary Tree-25,Greedy-24,Breadth-First Search-23,Recursion-15","Array-131,String-52,Sorting-32,Two Pointers-28,Matrix-22,Stack-20,Linked List-20,Simulation-17"
4946,"289,808",Rashid Siddiqui,"C++_263,MySQL_3,Java_2",76.0,86.3,170.0,92.7,19.0,77.2,620,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Longest Palindromic Substring,Find All Groups of Farmland,Number of Good Ways to Split a String,Heaters,Minimum Difference Between Largest and Smallest Value in Three Moves,Number of Islands,Reverse Linked List II,Symmetric Tree,Minimum Changes To Make Alternating Binary String,Minimize XOR,Reverse Odd Levels of Binary Tree",76.0,"Dynamic Programming-32,Backtracking-8,Trie-8,Union Find-7,Monotonic Stack-5,Topological Sort-5,Rolling Hash-4,Divide and Conquer-4","Hash Table-72,Math-33,Greedy-31,Depth-First Search-27,Breadth-First Search-21,Bit Manipulation-21,Binary Search-20,Sliding Window-15","Array-154,String-75,Sorting-44,Simulation-21,Two Pointers-20,Matrix-17,Stack-14,Linked List-10"
4949,"519,457",_achieve_it_,C++_167,62.0,82.2,96.0,85.5,9.0,61.1,562,"Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Trapping Rain Water,Remove K Digits",142.0,"Union Find-13,Dynamic Programming-12,Backtracking-11,Topological Sort-4,Divide and Conquer-3,Monotonic Stack-3,Shortest Path-3,Rolling Hash-1","Hash Table-33,Breadth-First Search-24,Depth-First Search-23,Math-23,Binary Search-16,Greedy-14,Graph-13,Bit Manipulation-10","Array-91,String-38,Sorting-21,Two Pointers-21,Matrix-16,Linked List-12,Stack-11,Simulation-7"
4950,"82,655",Saja,Python3_527,271.0,99.3,227.0,95.4,29.0,84.7,221,"Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points,Score of a String,Count Alternating Subarrays,Water Bottles II,Harshad Number,Minimum Levels to Gain More Points,Shortest Subarray With OR at Least K I,Apply Operations to Make Sum of Array Greater Than or Equal to k,Maximum Length Substring With Two Occurrences,Count Substrings Starting and Ending with Given Character,Existence of a Substring in a String and Its Reverse,Mark Elements on Array by Performing Queries,Find the Sum of Encrypted Integers",58.0,"Dynamic Programming-61,Backtracking-15,Trie-11,Divide and Conquer-9,Monotonic Stack-6,Rolling Hash-5,Union Find-5,Binary Indexed Tree-5","Hash Table-120,Binary Search-80,Math-78,Greedy-52,Bit Manipulation-30,Tree-29,Depth-First Search-29,Binary Tree-28","Array-320,String-141,Sorting-81,Two Pointers-59,Simulation-43,Matrix-35,Enumeration-19,Stack-19"
4953,"14,764",CoBaLt,"C++_814,MySQL_77,Python3_27",353.0,99.7,487.0,99.3,93.0,97.1,"1,334","Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Minimum Time to Visit Disappearing Nodes",316.0,"Dynamic Programming-139,Backtracking-32,Union Find-23,Monotonic Stack-14,Divide and Conquer-13,Trie-13,Game Theory-9,Rolling Hash-9","Hash Table-165,Math-132,Depth-First Search-91,Greedy-85,Breadth-First Search-79,Database-77,Binary Search-74,Tree-72","Array-480,String-186,Sorting-126,Two Pointers-68,Matrix-56,Simulation-52,Stack-45,Linked List-30"
4956,"23,569",sololeveller,"Java_526,Python3_336,Python_9",268.0,99.2,467.0,99.2,82.0,96.3,"1,526","Find if Path Exists in Graph,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Time to Visit Disappearing Nodes,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Time to Visit Disappearing Nodes",328.0,"Dynamic Programming-135,Backtracking-33,Union Find-24,Divide and Conquer-19,Monotonic Stack-15,Trie-12,Rolling Hash-9,Game Theory-8","Hash Table-182,Math-118,Greedy-90,Depth-First Search-89,Tree-71,Binary Search-71,Binary Tree-67,Breadth-First Search-67","Array-456,String-193,Sorting-123,Two Pointers-68,Matrix-58,Simulation-48,Stack-46,Linked List-40"
4958,"191,448",Aditya Chaturvedi,"C++_339,Java_12",96.0,90.3,207.0,94.6,43.0,90.3,745,"Find if Path Exists in Graph,Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Two Sum IV - Input is a BST,Binary Search Tree Iterator,Path Sum III,Path Sum II,Path Sum,Count Nodes With the Highest Score,Minimum Number of Operations to Sort a Binary Tree by Level,Number of Islands,Cousins in Binary Tree",131.0,"Dynamic Programming-77,Union Find-11,Monotonic Stack-10,Divide and Conquer-9,Game Theory-8,Backtracking-8,Topological Sort-5,Rolling Hash-4","Hash Table-67,Depth-First Search-57,Tree-50,Binary Tree-50,Breadth-First Search-46,Math-43,Greedy-33,Binary Search-30","Array-193,String-68,Sorting-48,Two Pointers-41,Stack-26,Matrix-24,Linked List-15,Simulation-10"
4959,"134,396",N Venkat Abhilash,"Java_242,Python3_189,C++_4",117.0,93.1,243.0,95.9,60.0,93.9,663,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Deletions to Make String K-Special,Count Substrings Starting and Ending with Given Character,Earliest Second to Mark Indices II,Fibonacci Number,Find the Sum of Subsequence Powers,Minimize Manhattan Distances",143.0,"Dynamic Programming-81,Union Find-14,Backtracking-9,Shortest Path-9,Rolling Hash-8,Trie-7,Topological Sort-6,Divide and Conquer-5","Hash Table-94,Math-61,Greedy-59,Depth-First Search-45,Breadth-First Search-45,Binary Search-31,Bit Manipulation-31,Graph-29","Array-266,String-78,Sorting-61,Two Pointers-35,Matrix-33,Simulation-31,Enumeration-20,Linked List-13"
4962,"548,017",nebulaw,"Java_121,Python3_41,C_10",73.0,85.5,78.0,82.2,7.0,55.3,377,"Number of Islands,Online Stock Span,Daily Temperatures,Smallest String Starting From Leaf,Letter Combinations of a Phone Number,Kth Largest Element in an Array,Add One Row to Tree,Pow(x, n),Number of Provinces,Keys and Rooms,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle",50.0,"Dynamic Programming-11,Monotonic Stack-6,Divide and Conquer-4,Union Find-3,Backtracking-2,Trie-2,Data Stream-1,Quickselect-1","Hash Table-30,Depth-First Search-23,Tree-22,Binary Tree-22,Math-19,Breadth-First Search-13,Greedy-10,Sliding Window-8","Array-72,String-37,Two Pointers-26,Stack-25,Sorting-14,Linked List-14,Matrix-13,Simulation-11"
4963,"8,283",H Z,"Java_901,Python3_150,Python_57",341.0,99.7,582.0,99.6,165.0,99.3,322,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Count Primes,Minimum Moves to Pick K Ones,Intervals Between Identical Elements,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost to Make Array Equalindromic,Allocate Mailboxes,Minimum Operations to Make a Uni-Value Grid,Minimum Moves to Equal Array Elements II,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint",93.0,"Dynamic Programming-171,Backtracking-49,Union Find-30,Trie-27,Divide and Conquer-24,Monotonic Stack-24,Bitmask-13,Data Stream-12","Hash Table-229,Math-172,Depth-First Search-126,Greedy-122,Tree-106,Binary Tree-99,Binary Search-92,Breadth-First Search-88","Array-600,String-289,Sorting-143,Two Pointers-106,Matrix-77,Stack-68,Simulation-48,Linked List-44"
4965,"342,139",tspradley,"C++_237,Python_2",92.0,89.6,136.0,90.2,7.0,55.3,595,"Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points,Score of a String,Shortest Subarray With OR at Least K I,Shortest Subarray With OR at Least K II,Minimum Levels to Gain More Points,Remove K Digits,Reveal Cards In Increasing Order,Time Needed to Buy Tickets,Minimum Cost Walk in Weighted Graph,Number of Students Unable to Eat Lunch,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray",83.0,"Dynamic Programming-30,Divide and Conquer-7,Backtracking-6,Union Find-6,Trie-4,Monotonic Stack-4,Data Stream-2,Rolling Hash-2","Hash Table-43,Depth-First Search-32,Tree-29,Binary Tree-27,Breadth-First Search-26,Math-25,Greedy-23,Binary Search-13","Array-119,String-53,Two Pointers-37,Sorting-27,Stack-20,Matrix-17,Linked List-16,Simulation-15"
4966,"88,498",Ayush,"C++_501,JavaScript_10,C_3",152.0,96.0,303.0,97.4,57.0,93.4,"1,846","Find if Path Exists in Graph,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Word Ladder,Find All Groups of Farmland,Number of Islands,Number of Enclaves,Number of Provinces,Island Perimeter,Smallest String Starting From Leaf,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Remove K Digits,Add One Row to Tree",228.0,"Dynamic Programming-84,Backtracking-19,Divide and Conquer-15,Trie-14,Monotonic Stack-9,Union Find-8,Rolling Hash-7,Quickselect-4","Hash Table-106,Math-76,Greedy-63,Depth-First Search-46,Binary Search-44,Tree-42,Binary Tree-42,Breadth-First Search-35","Array-302,String-104,Sorting-76,Two Pointers-46,Matrix-45,Linked List-31,Stack-27,Simulation-26"
4967,"368,622",Aadarsh Shaheb Singh,"C++_220,Java_3",92.0,89.6,117.0,88.2,13.0,69.4,586,"Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order",216.0,"Dynamic Programming-30,Divide and Conquer-9,Backtracking-7,Monotonic Stack-7,Trie-4,Union Find-3,Data Stream-2,Quickselect-2","Math-43,Hash Table-33,Greedy-21,Binary Search-20,Depth-First Search-16,Tree-15,Binary Tree-15,Breadth-First Search-10","Array-119,String-52,Two Pointers-32,Sorting-28,Stack-26,Linked List-20,Matrix-15,Simulation-13"
4969,"903,190",piyushlodwal12802,C++_93,38.0,70.7,50.0,74.9,4.0,40.9,173,"Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Count Substrings Starting and Ending with Given Character,Existence of a Substring in a String and Its Reverse,Maximize Happiness of Selected Children,Apple Redistribution into Boxes,Number of Subarrays That Match a Pattern I,Modify the Matrix,Ant on the Boundary,Type of Triangle,Find the Maximum Number of Elements in Subset,Number of Changing Keys",35.0,"Dynamic Programming-15,Backtracking-9,Rolling Hash-1,Quickselect-1,Divide and Conquer-1,Trie-1,Union Find-1,Monotonic Stack-1","Hash Table-13,Greedy-10,Math-9,Binary Search-8,Depth-First Search-8,Tree-7,Binary Tree-7,Breadth-First Search-7","Array-54,String-18,Sorting-13,Two Pointers-12,Linked List-7,Matrix-6,Enumeration-4,Simulation-3"
4970,"96,778",NIKHIL KUMAR SINGH,"C++_382,C_142,MySQL_1",282.0,99.3,198.0,94.2,14.0,71.0,620,"Convert an Array Into a 2D Array With Conditions,Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Find Bottom Left Tree Value,Check if Strings Can be Made Equal With Operations II,Find All Groups of Farmland,Number of Islands,Island Perimeter,Max Number of K-Sum Pairs,Smallest String Starting From Leaf,Asteroid Collision,Decode String,Increasing Triplet Subsequence,Greatest Common Divisor of Strings",141.0,"Dynamic Programming-33,Monotonic Stack-12,Divide and Conquer-11,Backtracking-6,Game Theory-4,Trie-3,Data Stream-2,Rolling Hash-2","Math-112,Hash Table-77,Greedy-42,Binary Search-41,Tree-34,Binary Tree-33,Depth-First Search-32,Sliding Window-24","Array-254,String-120,Sorting-75,Two Pointers-65,Simulation-43,Stack-41,Linked List-29,Matrix-22"
4972,"373,135",dhakreydeepshikha,C++_220,102.0,91.2,106.0,86.9,12.0,67.7,414,"Count the Number of Special Characters II,Count the Number of Special Characters I,Best Time to Buy and Sell Stock II,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Trapping Rain Water,Time Needed to Buy Tickets,Number of Students Unable to Eat Lunch,Valid Parenthesis String,Make The String Great,Minimum Remove to Make Valid Parentheses,Maximum Nesting Depth of the Parentheses",142.0,"Dynamic Programming-34,Monotonic Stack-6,Union Find-5,Divide and Conquer-3,Game Theory-2,Backtracking-2,Trie-2,Topological Sort-2","Hash Table-46,Math-35,Greedy-22,Depth-First Search-21,Breadth-First Search-18,Binary Search-16,Tree-15,Binary Tree-15","Array-127,String-55,Sorting-32,Stack-20,Two Pointers-19,Simulation-14,Matrix-13,Linked List-10"
4973,"143,385",DEV,"C++_403,Java_7,Python3_1",118.0,93.2,247.0,96.0,42.0,90.0,466,"Find if Path Exists in Graph,Find Edges in Shortest Paths,Count the Number of Special Characters II,Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Score of a String,Minimum Rectangles to Cover Points,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Valid Parentheses,Palindromic Substrings,Minimum Remove to Make Valid Parentheses,Longest Substring Without Repeating Characters",108.0,"Dynamic Programming-77,Backtracking-19,Union Find-14,Divide and Conquer-13,Trie-8,Rolling Hash-5,Monotonic Stack-5,Topological Sort-5","Hash Table-82,Math-63,Greedy-46,Depth-First Search-42,Binary Search-41,Breadth-First Search-40,Tree-30,Binary Tree-24","Array-240,String-92,Sorting-50,Two Pointers-34,Matrix-33,Stack-20,Simulation-16,Linked List-11"
4974,"16,225",SihangWang,"Python3_901,C++_33",288.0,99.4,567.0,99.6,54.0,92.8,"1,752","Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Super Egg Drop,Island Perimeter,Find Minimum in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Search in Rotated Sorted Array,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Remove Zero Sum Consecutive Nodes from Linked List,Delete Node in a Linked List",144.0,"Dynamic Programming-99,Backtracking-31,Union Find-26,Monotonic Stack-26,Divide and Conquer-25,Trie-12,Data Stream-8,Game Theory-5","Hash Table-194,Depth-First Search-152,Math-145,Tree-130,Binary Tree-119,Breadth-First Search-109,Greedy-74,Binary Search-72","Array-446,String-215,Sorting-112,Two Pointers-90,Stack-87,Matrix-81,Linked List-66,Simulation-48"
4976,"233,623",Yash Pal Singh,C++_310,105.0,91.6,168.0,92.6,33.0,86.8,541,"Island Perimeter,Path Sum II,Minimum XOR Sum of Two Arrays,Maximum White Tiles Covered by a Carpet,Smallest String Starting From Leaf,Add One Row to Tree,Minimum Moves to Reach Target with Rotations,Find the Longest Valid Obstacle Course at Each Position,Sum of Left Leaves,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points",106.0,"Dynamic Programming-68,Backtracking-11,Union Find-11,Monotonic Stack-7,Rolling Hash-5,Divide and Conquer-5,Trie-5,Shortest Path-5","Hash Table-55,Math-52,Depth-First Search-46,Tree-37,Binary Tree-36,Breadth-First Search-36,Greedy-35,Binary Search-26","Array-161,String-68,Sorting-39,Two Pointers-23,Matrix-21,Stack-16,Enumeration-14,Linked List-14"
4978,"212,403",Manish Kumar Jaiswal,"C++_314,MySQL_13,JavaScript_1",101.0,91.0,197.0,94.1,27.0,83.5,673,"Island Perimeter,Kth Smallest Number in Multiplication Table,Smallest String Starting From Leaf,Maximum Product Subarray,Partition to K Equal Sum Subsets,Stone Game,Add One Row to Tree,Stone Game,Sum Root to Leaf Numbers,Word Break,Binary Tree Zigzag Level Order Traversal,Smallest String Starting From Leaf,Maximum Length of Repeated Subarray,Sum of Left Leaves,Kth Smallest Amount With Single Denomination Combination",107.0,"Dynamic Programming-52,Monotonic Stack-14,Divide and Conquer-13,Game Theory-8,Backtracking-7,Monotonic Queue-4,Bitmask-3,Trie-3","Hash Table-60,Math-56,Greedy-46,Binary Search-31,Bit Manipulation-31,Tree-23,Binary Tree-23,Depth-First Search-18","Array-171,String-73,Sorting-52,Stack-38,Two Pointers-37,Linked List-24,Matrix-21,Simulation-10"
4980,"42,536",yuanhao Hsueh,"Go_572,Python3_158,C_69",186.0,97.6,412.0,98.8,80.0,96.2,931,"Minimum Number of Operations to Make All Array Elements Equal to 1,Remove Element,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Frog Jump II,Closest Dessert Cost,Merge Sorted Array,Count Substrings That Differ by One Character,Video Stitching,Longest Nice Subarray,Minimum Array Length After Pair Removals,Campus Bikes II,Smallest Missing Non-negative Integer After Operations,Walking Robot Simulation",219.0,"Dynamic Programming-186,Backtracking-23,Union Find-20,Divide and Conquer-13,Trie-11,Bitmask-8,Monotonic Stack-8,Game Theory-7","Hash Table-128,Math-101,Depth-First Search-68,Binary Search-64,Greedy-60,Tree-56,Binary Tree-52,Breadth-First Search-51","Array-382,String-157,Sorting-78,Two Pointers-61,Matrix-49,Stack-37,Simulation-29,Linked List-24"
4981,"214,576",polarharmony,"Python3_325,Go_6,MySQL_3",93.0,89.8,200.0,94.3,30.0,85.3,827,"Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Largest Rectangle in Histogram,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order",187.0,"Dynamic Programming-60,Union Find-13,Divide and Conquer-10,Monotonic Stack-9,Backtracking-7,Topological Sort-6,Game Theory-5,Trie-4","Hash Table-69,Depth-First Search-51,Breadth-First Search-48,Math-39,Tree-37,Binary Tree-35,Greedy-35,Binary Search-31","Array-174,String-58,Sorting-45,Two Pointers-34,Matrix-28,Stack-28,Linked List-22,Simulation-13"
4983,"533,508",Thanos,"C++_156,Java_5,MySQL_1",62.0,82.2,89.0,84.3,12.0,67.7,354,"Find if Path Exists in Graph,Count the Number of Special Characters II,Find All Groups of Farmland,Fair Distribution of Cookies,Island Perimeter,Smallest String Starting From Leaf,Second Highest Salary,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Valid Parenthesis String,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Number of Ways to Divide a Long Corridor",132.0,"Dynamic Programming-20,Divide and Conquer-6,Backtracking-4,Monotonic Stack-4,Trie-3,Game Theory-2,Quickselect-2,Union Find-2","Hash Table-39,Math-24,Greedy-20,Depth-First Search-20,Tree-18,Binary Tree-18,Breadth-First Search-18,Binary Search-12","Array-80,String-45,Two Pointers-25,Sorting-24,Stack-12,Linked List-8,Matrix-7,Simulation-5"
4984,"273,242",Sourav Mandal,"C++_275,C_3",116.0,93.0,150.0,91.3,11.0,65.7,511,"Rotting Oranges,Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Insert into a Binary Search Tree,Flood Fill,Find All Groups of Farmland,Number of Islands,Number of Provinces,Pascal's Triangle,Spiral Matrix,Rotate Image,Island Perimeter,Best Time to Buy and Sell Stock,Maximum Subarray",153.0,"Backtracking-13,Dynamic Programming-13,Monotonic Stack-8,Divide and Conquer-7,Quickselect-3,Trie-3,Union Find-3,Rolling Hash-2","Hash Table-50,Math-44,Greedy-26,Binary Search-23,Tree-22,Depth-First Search-22,Binary Tree-21,Breadth-First Search-18","Array-147,String-58,Sorting-48,Two Pointers-45,Linked List-32,Stack-26,Simulation-18,Matrix-15"
4985,"54,792",DIVYAMMISHRA0918,"C++_619,Java_2,MySQL_1",219.0,98.5,356.0,98.2,45.0,90.8,"1,057","Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Trapping Rain Water,Reveal Cards In Increasing Order,Split Array Largest Sum,Time Needed to Buy Tickets,Valid Parenthesis String,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Remove to Make Valid Parentheses,Maximum Nesting Depth of the Parentheses,Isomorphic Strings,Count Subarrays With Score Less Than K",190.0,"Dynamic Programming-106,Backtracking-26,Divide and Conquer-16,Monotonic Stack-10,Union Find-9,Game Theory-7,Trie-4,Monotonic Queue-4","Hash Table-147,Math-100,Greedy-97,Tree-52,Binary Search-52,Depth-First Search-52,Binary Tree-50,Breadth-First Search-36","Array-384,String-130,Sorting-104,Two Pointers-59,Matrix-40,Simulation-40,Stack-34,Linked List-21"
4986,"142,624",Sachin Singh,"C++_408,Java_1",116.0,93.0,255.0,96.3,37.0,88.3,832,"Find if Path Exists in Graph,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Accounts Merge,Number of Islands,Number of Operations to Make Network Connected,Island Perimeter,Can Place Flowers,Ugly Number II,Ugly Number,Smallest String Starting From Leaf,Add One Row to Tree,Sum of Left Leaves",206.0,"Dynamic Programming-74,Backtracking-15,Divide and Conquer-12,Monotonic Stack-9,Union Find-7,Trie-5,Monotonic Queue-3,Topological Sort-3","Hash Table-84,Math-71,Depth-First Search-50,Tree-45,Binary Tree-45,Breadth-First Search-42,Greedy-38,Binary Search-38","Array-207,String-86,Sorting-51,Two Pointers-42,Stack-29,Matrix-24,Linked List-23,Simulation-15"
4987,"223,257",Yash Yenurkar,"C++_305,MySQL_13",116.0,93.0,181.0,93.3,18.0,76.1,338,"Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Remove K Digits,Reveal Cards In Increasing Order",133.0,"Dynamic Programming-41,Divide and Conquer-11,Backtracking-10,Union Find-6,Monotonic Stack-5,Trie-3,Topological Sort-3,Quickselect-2","Hash Table-66,Depth-First Search-44,Math-44,Tree-40,Binary Tree-37,Breadth-First Search-33,Greedy-23,Design-13","Array-153,String-73,Sorting-44,Two Pointers-32,Matrix-26,Stack-24,Linked List-22,Simulation-20"
4988,"152,386",Ayush Tripathi,C++_394,140.0,95.2,216.0,94.9,38.0,88.7,"1,254","Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Maximal Rectangle,Trapping Rain Water,Remove K Digits",243.0,"Dynamic Programming-80,Union Find-10,Monotonic Stack-8,Divide and Conquer-6,Backtracking-5,Topological Sort-4,Shortest Path-4,Game Theory-3","Hash Table-75,Math-53,Depth-First Search-48,Tree-44,Greedy-44,Binary Tree-42,Breadth-First Search-42,Binary Search-23","Array-217,String-102,Sorting-51,Two Pointers-40,Matrix-33,Simulation-22,Stack-22,Enumeration-9"
4989,"49,349",Yeow Zi Qin,"Python3_572,Java_124,Python_22",238.0,98.8,347.0,98.1,61.0,94.0,783,"Missing Element in Sorted Array,Random Pick Index,Binary Tree Vertical Order Traversal,Minimum Area Rectangle,Reverse Linked List,Find Edges in Shortest Paths,Delete Nodes And Return Forest,Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Logger Rate Limiter,Find All Groups of Farmland,Missing Ranges,Moving Average from Data Stream,Number of Islands",204.0,"Dynamic Programming-87,Backtracking-21,Union Find-18,Trie-15,Divide and Conquer-13,Monotonic Stack-11,Rolling Hash-7,Binary Indexed Tree-6","Hash Table-134,Math-93,Depth-First Search-73,Greedy-68,Binary Search-59,Tree-58,Breadth-First Search-57,Binary Tree-53","Array-348,String-168,Sorting-101,Two Pointers-70,Matrix-53,Stack-41,Simulation-38,Linked List-30"
